"IDROWCOL","Value"
"2019_Preston_V1_5_1",2
"2019_Preston_V2_5_1",1
"2019_Preston_V3_5_1",2
"2019_Preston_W1_5_1",1
"2019_Preston_W2_5_1",1
"2019_Preston_W3_5_1",0
"2019_Preston_STD_5_2",3
"2019_Preston_V1_5_2",3
"2019_Preston_V2_5_2",4
"2019_Preston_V3_5_2",3
"2019_Preston_W1_5_2",1
"2019_Preston_W2_5_2",2
"2019_Preston_W3_5_2",2
"2019_Preston_STD_5_3",2
"2019_Preston_V1_5_3",3
"2019_Preston_V2_5_3",3
"2019_Preston_V3_5_3",3
"2019_Preston_W1_5_3",1
"2019_Preston_W2_5_3",2
"2019_Preston_W3_5_3",4
"2019_Preston_STD_5_4",2
"2019_Preston_V1_5_4",3
"2019_Preston_V2_5_4",2
"2019_Preston_V3_5_4",2
"2019_Preston_W1_5_4",1
"2019_Preston_W2_5_4",4
"2019_Preston_W3_5_4",2
"2019_Preston_STD_5_5",2
"2019_Preston_V1_5_5",2
"2019_Preston_V2_5_5",1
"2019_Preston_V3_5_5",1
"2019_Preston_W1_5_5",1
"2019_Preston_W2_5_5",4
"2019_Preston_W3_5_5",2
"2019_Preston_STD_5_6",3
"2019_Preston_V1_5_6",3
"2019_Preston_V2_5_6",1
"2019_Preston_V3_5_6",2
"2019_Preston_W1_5_6",2
"2019_Preston_W2_5_6",5
"2019_Preston_W3_5_6",2
"2019_Preston_STD_5_7",2
"2019_Preston_V1_5_7",3
"2019_Preston_V2_5_7",2
"2019_Preston_V3_5_7",1
"2019_Preston_W1_5_7",2
"2019_Preston_W2_5_7",5
"2019_Preston_W3_5_7",2
"2019_Preston_STD_5_8",3
"2019_Preston_V1_5_8",2
"2019_Preston_V2_5_8",2
"2019_Preston_V3_5_8",2
"2019_Preston_W1_5_8",1
"2019_Preston_W2_5_8",4
"2019_Preston_W3_5_8",3
"2019_Preston_STD_5_9",2
"2019_Preston_V1_5_9",2
"2019_Preston_V2_5_9",2
"2019_Preston_V3_5_9",2
"2019_Preston_W1_5_9",1
"2019_Preston_W2_5_9",2
"2019_Preston_W3_5_9",2
"2019_Preston_STD_6_1",3
"2019_Preston_V1_6_1",2
"2019_Preston_V2_6_1",1
"2019_Preston_V3_6_1",1
"2019_Preston_W1_6_1",1
"2019_Preston_W2_6_1",2
"2019_Preston_W3_6_1",2
"2019_Preston_STD_6_2",3
"2019_Preston_V1_6_2",3
"2019_Preston_V2_6_2",3
"2019_Preston_V3_6_2",2
"2019_Preston_W1_6_2",2
"2019_Preston_W2_6_2",1
"2019_Preston_W3_6_2",1
"2019_Preston_STD_6_3",3
"2019_Preston_V1_6_3",3
"2019_Preston_V2_6_3",2
"2019_Preston_V3_6_3",2
"2019_Preston_W1_6_3",2
"2019_Preston_W2_6_3",4
"2019_Preston_W3_6_3",2
"2019_Preston_STD_6_4",3
"2019_Preston_V1_6_4",3
"2019_Preston_V2_6_4",2
"2019_Preston_V3_6_4",2
"2019_Preston_W1_6_4",2
"2019_Preston_W2_6_4",4
"2019_Preston_W3_6_4",1
"2019_Preston_STD_6_5",2
"2019_Preston_V1_6_5",2
"2019_Preston_V2_6_5",1
"2019_Preston_V3_6_5",1
"2019_Preston_W1_6_5",2
"2019_Preston_W2_6_5",4
"2019_Preston_W3_6_5",1
"2019_Preston_STD_6_6",1
