IDXGT,adjmth1
2019_Preston_V3_NorLin,2.644444444
2019_Preston_V3_NorLin,2.044444444
2019_Preston_V3_NorLin,2.344444444
2019_Preston_V3_NorLin,2.044444444
2019_Preston_V3_NorLin,2.844444444
2019_Preston_V3_NorLin,1.844444444
2019_Preston_V3_NorLin,2.544444444
2019_Preston_V3_NorLin,2.111111111
2019_Preston_V3_NorLin,2.511111111
2019_Preston_V3_NorLin,3.311111111
2019_Preston_V3_NorLin,2.711111111
2019_Preston_V3_NorLin,2.011111111
2019_Preston_V3_NorLin,1.711111111
2019_Preston_V3_NorLin,2.511111111
2019_Preston_V3_NorLin,1.511111111
2019_Preston_V3_NorLin,2.211111111
2019_Preston_V3_NorLin,2.777777778
2019_Preston_V3_NorLin,3.177777778
2019_Preston_V3_NorLin,2.977777778
2019_Preston_V3_NorLin,2.377777778
2019_Preston_V3_NorLin,1.677777778
2019_Preston_V3_NorLin,2.377777778
2019_Preston_V3_NorLin,1.177777778
2019_Preston_V3_NorLin,2.177777778
2019_Preston_V3_NorLin,1.877777778
2019_Preston_V3_NorLin,2
2019_Preston_V3_NorLin,2.4
2019_Preston_V3_NorLin,2.2
2019_Preston_V3_NorLin,2.6
2019_Preston_V3_NorLin,1.9
2019_Preston_V3_NorLin,2.6
2019_Preston_V3_NorLin,2.4
2019_Preston_V3_NorLin,2.4
2019_Preston_V3_NorLin,2.1
2019_Preston_V3_NorLin,2.333333333
2019_Preston_V3_NorLin,1.733333333
2019_Preston_V3_NorLin,1.533333333
2019_Preston_V3_NorLin,1.933333333
2019_Preston_V3_NorLin,2.233333333
2019_Preston_V3_NorLin,2.933333333
2019_Preston_V3_NorLin,2.733333333
2019_Preston_V3_NorLin,2.733333333
2019_Preston_V3_NorLin,2.433333333
2019_Preston_V3_NorLin,2.666666667
2019_Preston_V3_NorLin,2.066666667
2019_Preston_V3_NorLin,1.866666667
2019_Preston_V3_NorLin,2.266666667
2019_Preston_V3_NorLin,2.566666667
2019_Preston_V3_NorLin,2.266666667
2019_Preston_V3_NorLin,2.066666667
2019_Preston_V3_NorLin,2.066666667
2019_Preston_V3_NorLin,2.766666667
2019_Preston_V3_NorLin,2.333333333
2019_Preston_V3_NorLin,2.733333333
2019_Preston_V3_NorLin,1.533333333
2019_Preston_V3_NorLin,1.933333333
2019_Preston_V3_NorLin,2.233333333
2019_Preston_V3_NorLin,1.933333333
2019_Preston_V3_NorLin,2.733333333
2019_Preston_V3_NorLin,2.733333333
2019_Preston_V3_NorLin,2.433333333
2019_Preston_V3_NorLin,2.888888889
2019_Preston_V3_NorLin,2.288888889
2019_Preston_V3_NorLin,2.088888889
2019_Preston_V3_NorLin,1.488888889
2019_Preston_V3_NorLin,2.788888889
2019_Preston_V3_NorLin,2.488888889
2019_Preston_V3_NorLin,2.288888889
2019_Preston_V3_NorLin,2.288888889
2019_Preston_V3_NorLin,1.988888889
2019_Preston_V3_Novelty,3.4
2019_Preston_V3_Novelty,3.733333333
2019_Preston_V3_Novelty,2.533333333
2019_Preston_W1_Flanders,0
2019_Preston_W1_Flanders,1.888888889
2019_Preston_W1_Flanders,1.222222222
2019_Preston_W1_NorLin,3.622222222
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,1.288888889
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,1.688888889
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,4.888888889
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,2.177777778
2019_Preston_W1_NorLin,2.577777778
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,1.577777778
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,2.777777778
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0.955555556
2019_Preston_W1_NorLin,1.355555556
2019_Preston_W1_NorLin,1.555555556
2019_Preston_W1_NorLin,1.355555556
2019_Preston_W1_NorLin,1.755555556
2019_Preston_W1_NorLin,1.755555556
2019_Preston_W1_NorLin,1.555555556
2019_Preston_W1_NorLin,1.555555556
2019_Preston_W1_NorLin,2.355555556
2019_Preston_W1_NorLin,0.733333333
2019_Preston_W1_NorLin,1.133333333
2019_Preston_W1_NorLin,1.333333333
2019_Preston_W1_NorLin,1.133333333
2019_Preston_W1_NorLin,1.533333333
2019_Preston_W1_NorLin,2.533333333
2019_Preston_W1_NorLin,2.333333333
2019_Preston_W1_NorLin,1.333333333
2019_Preston_W1_NorLin,2.133333333
2019_Preston_W1_NorLin,0.511111111
2019_Preston_W1_NorLin,1.911111111
2019_Preston_W1_NorLin,2.111111111
2019_Preston_W1_NorLin,1.911111111
2019_Preston_W1_NorLin,2.311111111
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,4.111111111
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,1.288888889
2019_Preston_W1_NorLin,1.688888889
2019_Preston_W1_NorLin,1.888888889
2019_Preston_W1_NorLin,1.688888889
2019_Preston_W1_NorLin,2.088888889
2019_Preston_W1_NorLin,2.088888889
2019_Preston_W1_NorLin,1.888888889
2019_Preston_W1_NorLin,2.888888889
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,1.066666667
2019_Preston_W1_NorLin,0.466666667
2019_Preston_W1_NorLin,2.666666667
2019_Preston_W1_NorLin,1.466666667
2019_Preston_W1_NorLin,0.866666667
2019_Preston_W1_NorLin,1.866666667
2019_Preston_W1_NorLin,2.666666667
2019_Preston_W1_NorLin,0.666666667
2019_Preston_W1_NorLin,2.466666667
2019_Preston_W1_NorLin,0.622222222
2019_Preston_W1_NorLin,2.022222222
2019_Preston_W1_NorLin,1.222222222
2019_Preston_W1_NorLin,2.022222222
2019_Preston_W1_NorLin,1.422222222
2019_Preston_W1_NorLin,1.422222222
2019_Preston_W1_NorLin,1.222222222
2019_Preston_W1_NorLin,1.222222222
2019_Preston_W1_NorLin,3.022222222
2019_Preston_W1_NorLin,3.511111111
2019_Preston_W1_NorLin,2.911111111
2019_Preston_W1_NorLin,2.111111111
2019_Preston_W1_NorLin,1.911111111
2019_Preston_W1_NorLin,2.311111111
2019_Preston_W1_NorLin,2.311111111
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0
2019_Preston_W1_NorLin,0.911111111
2019_Preston_W1_Novelty,5.111111111
2019_Preston_W1_Novelty,0
2019_Preston_W1_Novelty,3.222222222
2019_Preston_W2_Flanders,1.111111111
2019_Preston_W2_Flanders,4.288888889
2019_Preston_W2_Flanders,3.222222222
2019_Preston_W2_NorLin,4.455555556
2019_Preston_W2_NorLin,3.255555556
2019_Preston_W2_NorLin,2.555555556
2019_Preston_W2_NorLin,2.455555556
2019_Preston_W2_NorLin,4.655555556
2019_Preston_W2_NorLin,3.655555556
2019_Preston_W2_NorLin,3.555555556
2019_Preston_W2_NorLin,2.955555556
2019_Preston_W2_NorLin,5.955555556
2019_Preston_W2_NorLin,3.9
2019_Preston_W2_NorLin,3.7
2019_Preston_W2_NorLin,5
2019_Preston_W2_NorLin,3.9
2019_Preston_W2_NorLin,4.1
2019_Preston_W2_NorLin,3.1
2019_Preston_W2_NorLin,3
2019_Preston_W2_NorLin,3.4
2019_Preston_W2_NorLin,3.4
2019_Preston_W2_NorLin,3.344444444
2019_Preston_W2_NorLin,3.144444444
2019_Preston_W2_NorLin,5.444444444
2019_Preston_W2_NorLin,4.344444444
2019_Preston_W2_NorLin,3.544444444
2019_Preston_W2_NorLin,3.544444444
2019_Preston_W2_NorLin,3.444444444
2019_Preston_W2_NorLin,2.844444444
2019_Preston_W2_NorLin,3.844444444
2019_Preston_W2_NorLin,4.122222222
2019_Preston_W2_NorLin,4.922222222
2019_Preston_W2_NorLin,4.222222222
2019_Preston_W2_NorLin,4.122222222
2019_Preston_W2_NorLin,2.322222222
2019_Preston_W2_NorLin,4.322222222
2019_Preston_W2_NorLin,3.222222222
2019_Preston_W2_NorLin,1.622222222
2019_Preston_W2_NorLin,4.622222222
2019_Preston_W2_NorLin,2.122222222
2019_Preston_W2_NorLin,2.922222222
2019_Preston_W2_NorLin,2.222222222
2019_Preston_W2_NorLin,4.122222222
2019_Preston_W2_NorLin,4.322222222
2019_Preston_W2_NorLin,5.322222222
2019_Preston_W2_NorLin,5.222222222
2019_Preston_W2_NorLin,4.622222222
2019_Preston_W2_NorLin,2.622222222
2019_Preston_W2_NorLin,3.011111111
2019_Preston_W2_NorLin,1.811111111
2019_Preston_W2_NorLin,4.111111111
2019_Preston_W2_NorLin,4.011111111
2019_Preston_W2_NorLin,4.211111111
2019_Preston_W2_NorLin,4.211111111
2019_Preston_W2_NorLin,4.111111111
2019_Preston_W2_NorLin,4.511111111
2019_Preston_W2_NorLin,3.511111111
2019_Preston_W2_NorLin,3.788888889
2019_Preston_W2_NorLin,4.588888889
2019_Preston_W2_NorLin,3.888888889
2019_Preston_W2_NorLin,3.788888889
2019_Preston_W2_NorLin,3.988888889
2019_Preston_W2_NorLin,3.988888889
2019_Preston_W2_NorLin,3.888888889
2019_Preston_W2_NorLin,4.288888889
2019_Preston_W2_NorLin,1.288888889
