Genotype	Trait	2019/Preston	Mean	CV (%)
BxN-RIL-347-15	V2	1.71	1.71	.
BxN-RIL-347-16	V2	2.82	2.82	.
BxN-RIL-347-17	V2	2.23	2.23	.
BxN-RIL-347-18	V2	4.32	4.32	.
BxN-RIL-347-19	V2	1.07	1.07	.
BxN-RIL-347-2	V2	2.42	2.42	.
BxN-RIL-347-20	V2	1	1	.
BxN-RIL-347-21	V2	2.13	2.13	.
BxN-RIL-347-22	V2	2.53	2.53	.
BxN-RIL-347-23	V2	1.96	1.96	.
BxN-RIL-347-24	V2	2.91	2.91	.
BxN-RIL-347-3	V2	1.52	1.52	.
BxN-RIL-347-4	V2	3.82	3.82	.
BxN-RIL-347-5	V2	4.32	4.32	.
BxN-RIL-347-6	V2	3.23	3.23	.
BxN-RIL-347-7	V2	0.96	0.96	.
BxN-RIL-347-8	V2	2.42	2.42	.
BxN-RIL-347-9	V2	3.95	3.95	.
BxN-RIL-348-10	V2	1.53	1.53	.
BxN-RIL-348-11	V2	2.51	2.51	.
BxN-RIL-348-13	V2	3.42	3.42	.
BxN-RIL-348-14	V2	2.29	2.29	.
BxN-RIL-348-15	V2	3.93	3.93	.
BxN-RIL-348-16	V2	2.12	2.12	.
BxN-RIL-348-17	V2	2.46	2.46	.
BxN-RIL-348-18	V2	2.06	2.06	.
BxN-RIL-348-19	V2	1.13	1.13	.
BxN-RIL-348-2	V2	2.52	2.52	.
BxN-RIL-348-20	V2	2.88	2.88	.
BxN-RIL-348-21	V2	2.74	2.74	.
BxN-RIL-348-23	V2	2.46	2.46	.
BxN-RIL-348-24	V2	1.53	1.53	.
BxN-RIL-348-26	V2	2.52	2.52	.
BxN-RIL-348-3	V2	1.91	1.91	.
BxN-RIL-348-4	V2	1.92	1.92	.
BxN-RIL-348-5	V2	1.64	1.64	.
BxN-RIL-348-6	V2	1.93	1.93	.
BxN-RIL-348-7	V2	2.31	2.31	.
BxN-RIL-348-8	V2	1.82	1.82	.
BxN-RIL-348-9	V2	2.67	2.67	.
BxN-RIL-349-1	V2	1.24	1.24	.
BxN-RIL-349-10	V2	1.53	1.53	.
BxN-RIL-349-11	V2	2.36	2.36	.
BxN-RIL-349-12	V2	3.91	3.91	.
BxN-RIL-349-13	V2	3.42	3.42	.
BxN-RIL-349-16	V2	.	.	.
BxN-RIL-349-17	V2	1.13	1.13	.
BxN-RIL-349-18	V2	1.98	1.98	.
BxN-RIL-349-19	V2	2.48	2.48	.
BxN-RIL-349-2	V2	1.74	1.74	.
BxN-RIL-349-20	V2	1.22	1.22	.
BxN-RIL-349-21	V2	1.53	1.53	.
BxN-RIL-349-22	V2	2.57	2.57	.
BxN-RIL-349-23	V2	2.24	2.24	.
BxN-RIL-349-24	V2	2.36	2.36	.
BxN-RIL-349-4	V2	2.55	2.55	.
BxN-RIL-349-5	V2	2.55	2.55	.
BxN-RIL-349-6	V2	3.52	3.52	.
BxN-RIL-349-8	V2	1.38	1.38	.
BxN-RIL-349-9	V2	1.49	1.49	.
BxN-RIL-350-1	V2	2.15	2.15	.
BxN-RIL-350-10	V2	.	.	.
BxN-RIL-350-11	V2	2.88	2.88	.
BxN-RIL-350-12	V2	3.67	3.67	.
BxN-RIL-350-13	V2	3.15	3.15	.
BxN-RIL-350-14	V2	3.15	3.15	.
BxN-RIL-350-15	V2	1.53	1.53	.
BxN-RIL-350-16	V2	3.49	3.49	.
BxN-RIL-350-18	V2	2.93	2.93	.
BxN-RIL-350-19	V2	2.13	2.13	.
BxN-RIL-350-2	V2	3.68	3.68	.
BxN-RIL-350-20	V2	0.88	0.88	.
BxN-RIL-350-21	V2	2.45	2.45	.
BxN-RIL-350-22	V2	3.13	3.13	.
BxN-RIL-350-3	V2	2.67	2.67	.
BxN-RIL-350-5	V2	4.22	4.22	.
BxN-RIL-350-6	V2	3.52	3.52	.
BxN-RIL-350-7	V2	0.53	0.53	.
BxN-RIL-350-8	V2	.	.	.
BxN-RIL-351-1	V2	1.77	1.77	.
BxN-RIL-351-11	V2	2.2	2.2	.
BxN-RIL-351-12	V2	3.92	3.92	.
BxN-RIL-351-13	V2	1.66	1.66	.
BxN-RIL-351-14	V2	3.53	3.53	.
BxN-RIL-351-16	V2	2.66	2.66	.
BxN-RIL-351-18	V2	3.29	3.29	.
BxN-RIL-351-19	V2	2.72	2.72	.
BxN-RIL-351-2	V2	2.07	2.07	.
BxN-RIL-351-21	V2	4.88	4.88	.
BxN-RIL-351-22	V2	2.23	2.23	.
BxN-RIL-351-23	V2	2.77	2.77	.
BxN-RIL-351-24	V2	1.83	1.83	.
BxN-RIL-351-4	V2	2.51	2.51	.
BxN-RIL-351-5	V2	4.68	4.68	.
BxN-RIL-351-6	V2	1.56	1.56	.
BxN-RIL-351-8	V2	2.34	2.34	.
BxN-RIL-351-9	V2	2.59	2.59	.
BxN-RIL-352-1	V2	3.24	3.24	.
BxN-RIL-352-11	V2	1.36	1.36	.
BxN-RIL-352-12	V2	3.74	3.74	.
BxN-RIL-352-13	V2	0.72	0.72	.
BxN-RIL-352-14	V2	1.23	1.23	.
BxN-RIL-352-15	V2	3.82	3.82	.
BxN-RIL-352-16	V2	2.12	2.12	.
BxN-RIL-352-17	V2	3.67	3.67	.
BxN-RIL-352-18	V2	1.93	1.93	.
BxN-RIL-352-19	V2	4.13	4.13	.
BxN-RIL-352-2	V2	2.27	2.27	.
BxN-RIL-352-20	V2	3.1	3.1	.
BxN-RIL-352-22	V2	2.06	2.06	.
BxN-RIL-352-23	V2	2.53	2.53	.
BxN-RIL-352-24	V2	1.72	1.72	.
BxN-RIL-352-26	V2	3.91	3.91	.
BxN-RIL-352-27	V2	3.66	3.66	.
BxN-RIL-352-28	V2	1.42	1.42	.
BxN-RIL-352-5	V2	1.96	1.96	.
BxN-RIL-352-6	V2	2.95	2.95	.
BxN-RIL-352-9	V2	2.46	2.46	.
BxN-RIL-353-1	V2	3.71	3.71	.
BxN-RIL-353-10	V2	3.42	3.42	.
BxN-RIL-353-11	V2	2.98	2.98	.
BxN-RIL-353-12	V2	1.47	1.47	.
BxN-RIL-353-13	V2	1.91	1.91	.
BxN-RIL-353-14	V2	0.93	0.93	.
BxN-RIL-353-15	V2	2.57	2.57	.
BxN-RIL-353-16	V2	2.45	2.45	.
BxN-RIL-353-17	V2	3.05	3.05	.
BxN-RIL-353-18	V2	1.42	1.42	.
BxN-RIL-353-19	V2	3.38	3.38	.
BxN-RIL-353-2	V2	0.93	0.93	.
BxN-RIL-353-20	V2	2.53	2.53	.
BxN-RIL-353-22	V2	2.51	2.51	.
BxN-RIL-353-23	V2	2.53	2.53	.
BxN-RIL-353-25	V2	2.57	2.57	.
BxN-RIL-353-26	V2	1.83	1.83	.
BxN-RIL-353-3	V2	2.77	2.77	.
BxN-RIL-353-4	V2	1.2	1.2	.
BxN-RIL-353-5	V2	1.58	1.58	.
BxN-RIL-353-6	V2	1.67	1.67	.
BxN-RIL-353-7	V2	1.95	1.95	.
BxN-RIL-353-8	V2	1.99	1.99	.
BxN-RIL-353-9	V2	1.38	1.38	.
BxN-RIL-354-10	V2	2.59	2.59	.
BxN-RIL-354-11	V2	2.72	2.72	.
BxN-RIL-354-13	V2	3.9	3.9	.
BxN-RIL-354-14	V2	1.49	1.49	.
BxN-RIL-354-15	V2	1.9	1.9	.
BxN-RIL-354-16	V2	2.96	2.96	.
BxN-RIL-354-17	V2	2.52	2.52	.
BxN-RIL-354-18	V2	3.34	3.34	.
BxN-RIL-354-2	V2	1.29	1.29	.
BxN-RIL-354-20	V2	3.57	3.57	.
BxN-RIL-354-21	V2	3.13	3.13	.
BxN-RIL-354-23	V2	3.64	3.64	.
BxN-RIL-354-24	V2	0.53	0.53	.
BxN-RIL-354-26	V2	2.48	2.48	.
BxN-RIL-354-28	V2	3.48	3.48	.
BxN-RIL-354-29	V2	2.82	2.82	.
BxN-RIL-354-4	V2	2.38	2.38	.
BxN-RIL-354-5	V2	3.93	3.93	.
BxN-RIL-354-7	V2	2.71	2.71	.
BxN-RIL-354-8	V2	2.92	2.92	.
BxN-RIL-354-9	V2	3.64	3.64	.
BxN-RIL-355-1	V2	2.38	2.38	.
BxN-RIL-355-12	V2	4.82	4.82	.
BxN-RIL-355-13	V2	1.58	1.58	.
BxN-RIL-355-14	V2	2.12	2.12	.
BxN-RIL-355-15	V2	0.86	0.86	.
BxN-RIL-355-16	V2	3.52	3.52	.
BxN-RIL-355-17	V2	1.52	1.52	.
BxN-RIL-355-2	V2	2.58	2.58	.
BxN-RIL-355-20	V2	4.12	4.12	.
BxN-RIL-355-21	V2	2.91	2.91	.
BxN-RIL-355-22	V2	2.46	2.46	.
BxN-RIL-355-23	V2	2.96	2.96	.
BxN-RIL-355-26	V2	0.96	0.96	.
BxN-RIL-355-27	V2	1.96	1.96	.
BxN-RIL-355-3	V2	3.05	3.05	.
BxN-RIL-355-4	V2	2.27	2.27	.
BxN-RIL-355-5	V2	2.56	2.56	.
BxN-RIL-355-6	V2	1.48	1.48	.
BxN-RIL-355-7	V2	2.24	2.24	.
BxN-RIL-355-8	V2	2.72	2.72	.
BxN-RIL-355-9	V2	3.77	3.77	.
BxN-RIL-356-1	V2	2.53	2.53	.
BxN-RIL-356-10	V2	2.92	2.92	.
BxN-RIL-356-12	V2	1.82	1.82	.
BxN-RIL-356-13	V2	3.06	3.06	.
BxN-RIL-356-14	V2	2.48	2.48	.
BxN-RIL-356-15	V2	2.87	2.87	.
BxN-RIL-356-16	V2	2.96	2.96	.
BxN-RIL-356-17	V2	2.27	2.27	.
BxN-RIL-356-18	V2	2.27	2.27	.
BxN-RIL-356-19	V2	3.05	3.05	.
BxN-RIL-356-2	V2	3.59	3.59	.
BxN-RIL-356-20	V2	2.86	2.86	.
BxN-RIL-356-21	V2	2.23	2.23	.
BxN-RIL-356-22	V2	1.92	1.92	.
BxN-RIL-356-23	V2	1.38	1.38	.
BxN-RIL-356-3	V2	2.72	2.72	.
BxN-RIL-356-4	V2	2.57	2.57	.
BxN-RIL-356-5	V2	4.74	4.74	.
BxN-RIL-356-6	V2	2.64	2.64	.
BxN-RIL-356-7	V2	2.56	2.56	.
BxN-RIL-356-9	V2	0.88	0.88	.
BxN-RIL-357-1	V2	2.42	2.42	.
BxN-RIL-357-11	V2	3.91	3.91	.
BxN-RIL-357-12	V2	1.42	1.42	.
BxN-RIL-357-13	V2	0.82	0.82	.
BxN-RIL-357-15	V2	1.95	1.95	.
BxN-RIL-357-16	V2	2.78	2.78	.
BxN-RIL-357-18	V2	4.15	4.15	.
BxN-RIL-357-19	V2	1.29	1.29	.
BxN-RIL-357-2	V2	1.86	1.86	.
BxN-RIL-357-20	V2	2.82	2.82	.
BxN-RIL-357-21	V2	2.64	2.64	.
BxN-RIL-357-22	V2	1.88	1.88	.
BxN-RIL-357-23	V2	0.15	0.15	.
BxN-RIL-357-24	V2	2.24	2.24	.
BxN-RIL-357-25	V2	2.92	2.92	.
BxN-RIL-357-26	V2	2.23	2.23	.
BxN-RIL-357-27	V2	2.56	2.56	.
BxN-RIL-357-30	V2	1.52	1.52	.
BxN-RIL-357-31	V2	3.38	3.38	.
BxN-RIL-357-32	V2	1.71	1.71	.
BxN-RIL-357-4	V2	2.18	2.18	.
BxN-RIL-357-5	V2	1.57	1.57	.
BxN-RIL-357-7	V2	1.91	1.91	.
BxN-RIL-357-8	V2	3.48	3.48	.
BxN-RIL-357-9	V2	2.06	2.06	.
BxN-RIL-358-1	V2	2.48	2.48	.
BxN-RIL-358-10	V2	3.72	3.72	.
BxN-RIL-358-11	V2	2.13	2.13	.
BxN-RIL-358-12	V2	1.99	1.99	.
BxN-RIL-358-13	V2	2.53	2.53	.
BxN-RIL-358-14	V2	3.22	3.22	.
BxN-RIL-358-15	V2	2.27	2.27	.
BxN-RIL-358-19	V2	2.97	2.97	.
BxN-RIL-358-20	V2	3.38	3.38	.
BxN-RIL-358-21	V2	3.1	3.1	.
BxN-RIL-358-22	V2	2.13	2.13	.
BxN-RIL-358-23	V2	2.95	2.95	.
BxN-RIL-358-24	V2	1.95	1.95	.
BxN-RIL-358-25	V2	2.45	2.45	.
BxN-RIL-358-26	V2	3.64	3.64	.
BxN-RIL-358-27	V2	1.99	1.99	.
BxN-RIL-358-28	V2	1.95	1.95	.
BxN-RIL-358-29	V2	2.9	2.9	.
BxN-RIL-358-3	V2	5.23	5.23	.
BxN-RIL-358-30	V2	2.95	2.95	.
BxN-RIL-358-31	V2	3.55	3.55	.
BxN-RIL-358-4	V2	4.57	4.57	.
BxN-RIL-358-6	V2	2.53	2.53	.
BxN-RIL-358-9	V2	3.91	3.91	.
BxN-RIL-359-1	V2	2.22	2.22	.
BxN-RIL-359-10	V2	2.99	2.99	.
BxN-RIL-359-11	V2	4.57	4.57	.
BxN-RIL-359-12	V2	0.15	0.15	.
BxN-RIL-359-13	V2	2.83	2.83	.
BxN-RIL-359-14	V2	3.36	3.36	.
BxN-RIL-359-15	V2	2.96	2.96	.
BxN-RIL-359-16	V2	0.83	0.83	.
BxN-RIL-359-17	V2	3.9	3.9	.
BxN-RIL-359-18	V2	0.72	0.72	.
BxN-RIL-359-19	V2	1.31	1.31	.
BxN-RIL-359-2	V2	1.34	1.34	.
BxN-RIL-359-21	V2	2.38	2.38	.
BxN-RIL-359-22	V2	3.88	3.88	.
BxN-RIL-359-23	V2	1.03	1.03	.
BxN-RIL-359-24	V2	1.67	1.67	.
BxN-RIL-359-25	V2	1.77	1.77	.
BxN-RIL-359-26	V2	0.53	0.53	.
BxN-RIL-359-27	V2	0.53	0.53	.
BxN-RIL-359-28	V2	1.83	1.83	.
BxN-RIL-359-29	V2	2.29	2.29	.
BxN-RIL-359-30	V2	3.38	3.38	.
BxN-RIL-359-31	V2	3.88	3.88	.
BxN-RIL-359-4	V2	2.07	2.07	.
BxN-RIL-359-5	V2	3.1	3.1	.
BxN-RIL-359-6	V2	2.36	2.36	.
BxN-RIL-359-7	V2	2	2	.
BxN-RIL-359-8	V2	2.72	2.72	.
BxN-RIL-359-9	V2	1.93	1.93	.
BxN-RIL-360-1	V2	2.13	2.13	.
BxN-RIL-360-11	V2	3.87	3.87	.
BxN-RIL-360-12	V2	2.59	2.59	.
BxN-RIL-360-13	V2	3.13	3.13	.
BxN-RIL-360-14	V2	2.86	2.86	.
BxN-RIL-360-15	V2	2.52	2.52	.
BxN-RIL-360-16	V2	4.95	4.95	.
BxN-RIL-360-17	V2	1.83	1.83	.
BxN-RIL-360-18	V2	2.64	2.64	.
BxN-RIL-360-19	V2	0.51	0.51	.
BxN-RIL-360-2	V2	2.55	2.55	.
BxN-RIL-360-20	V2	3.68	3.68	.
BxN-RIL-360-21	V2	1.96	1.96	.
BxN-RIL-360-22	V2	2.88	2.88	.
BxN-RIL-360-23	V2	0.24	0.24	.
BxN-RIL-360-24	V2	1.22	1.22	.
BxN-RIL-360-25	V2	2.64	2.64	.
BxN-RIL-360-26	V2	3.1	3.1	.
BxN-RIL-360-27	V2	3.71	3.71	.
BxN-RIL-360-28	V2	4.13	4.13	.
BxN-RIL-360-29	V2	2.27	2.27	.
BxN-RIL-360-3	V2	3.82	3.82	.
BxN-RIL-360-30	V2	3.59	3.59	.
BxN-RIL-360-31	V2	2.42	2.42	.
BxN-RIL-360-32	V2	3.48	3.48	.
BxN-RIL-360-4	V2	3	3	.
BxN-RIL-360-5	V2	3.68	3.68	.
BxN-RIL-360-6	V2	3.71	3.71	.
BxN-RIL-360-7	V2	3.27	3.27	.
BxN-RIL-360-8	V2	1.36	1.36	.
Flanders	V2	1.92	1.92	.
NorLin	V2	2.96	2.96	.
Novelty	V2	3.92	3.92	.
Novelty1	V2	4.15	4.15	.
Novelty2	V2	3.57	3.57	.
Novelty3	V2	4.15	4.15	.
Novelty4	V2	5.03	5.03	.
Novelty5	V2	3.64	3.64	.
NxB-RIL-361-1	V2	3.46	3.46	.
NxB-RIL-361-10	V2	2.38	2.38	.
NxB-RIL-361-11	V2	3	3	.
NxB-RIL-361-12	V2	1.29	1.29	.
NxB-RIL-361-13	V2	2.57	2.57	.
NxB-RIL-361-14	V2	3.13	3.13	.
NxB-RIL-361-15	V2	2.1	2.1	.
NxB-RIL-361-16	V2	2.66	2.66	.
NxB-RIL-361-17	V2	2	2	.
NxB-RIL-361-18	V2	1.22	1.22	.
NxB-RIL-361-19	V2	3.29	3.29	.
NxB-RIL-361-2	V2	0.2	0.2	.
NxB-RIL-361-20	V2	3.05	3.05	.
NxB-RIL-361-21	V2	2.52	2.52	.
NxB-RIL-361-22	V2	1.72	1.72	.
NxB-RIL-361-23	V2	1.68	1.68	.
NxB-RIL-361-24	V2	1.47	1.47	.
NxB-RIL-361-25	V2	2.74	2.74	.
NxB-RIL-361-26	V2	1.46	1.46	.
NxB-RIL-361-27	V2	3.57	3.57	.
NxB-RIL-361-28	V2	2.67	2.67	.
NxB-RIL-361-3	V2	4.13	4.13	.
NxB-RIL-361-30	V2	2.71	2.71	.
NxB-RIL-361-31	V2	1.13	1.13	.
NxB-RIL-361-32	V2	2.78	2.78	.
NxB-RIL-361-33	V2	2.06	2.06	.
NxB-RIL-361-34	V2	3.34	3.34	.
NxB-RIL-361-4	V2	1.27	1.27	.
NxB-RIL-361-6	V2	1.53	1.53	.
NxB-RIL-361-7	V2	1.93	1.93	.
NxB-RIL-361-8	V2	0.92	0.92	.
NxB-RIL-361-9	V2	2.78	2.78	.
NxB-RIL-362-10	V2	2.87	2.87	.
NxB-RIL-362-11	V2	3.82	3.82	.
NxB-RIL-362-13	V2	2.95	2.95	.
NxB-RIL-362-14	V2	3.99	3.99	.
NxB-RIL-362-15	V2	3.24	3.24	.
NxB-RIL-362-16	V2	3.53	3.53	.
NxB-RIL-362-17	V2	3.77	3.77	.
NxB-RIL-362-18	V2	2.57	2.57	.
NxB-RIL-362-19	V2	3.13	3.13	.
NxB-RIL-362-2	V2	1.92	1.92	.
NxB-RIL-362-20	V2	3.07	3.07	.
NxB-RIL-362-21	V2	3.24	3.24	.
NxB-RIL-362-22	V2	2.87	2.87	.
NxB-RIL-362-26	V2	0.47	0.47	.
NxB-RIL-362-28	V2	1.55	1.55	.
NxB-RIL-362-3	V2	2.24	2.24	.
NxB-RIL-362-30	V2	2.83	2.83	.
NxB-RIL-362-31	V2	4.05	4.05	.
NxB-RIL-362-32	V2	3.29	3.29	.
NxB-RIL-362-33	V2	2.77	2.77	.
NxB-RIL-362-4	V2	2.86	2.86	.
NxB-RIL-362-5	V2	2.12	2.12	.
NxB-RIL-362-6	V2	3.29	3.29	.
NxB-RIL-362-8	V2	2.27	2.27	.
NxB-RIL-362-9	V2	2.98	2.98	.
NxB-RIL-363-1	V2	3.47	3.47	.
NxB-RIL-363-11	V2	1.45	1.45	.
NxB-RIL-363-12	V2	3.27	3.27	.
NxB-RIL-363-13	V2	2.2	2.2	.
NxB-RIL-363-14	V2	0.72	0.72	.
NxB-RIL-363-15	V2	2.27	2.27	.
NxB-RIL-363-16	V2	1.83	1.83	.
NxB-RIL-363-18	V2	3.83	3.83	.
NxB-RIL-363-19	V2	1.46	1.46	.
NxB-RIL-363-2	V2	3.78	3.78	.
NxB-RIL-363-20	V2	3.13	3.13	.
NxB-RIL-363-21	V2	3.13	3.13	.
NxB-RIL-363-24	V2	2.34	2.34	.
NxB-RIL-363-25	V2	2.24	2.24	.
NxB-RIL-363-26	V2	3.49	3.49	.
NxB-RIL-363-5	V2	2.18	2.18	.
NxB-RIL-363-6	V2	0.51	0.51	.
NxB-RIL-363-7	V2	2.91	2.91	.
NxB-RIL-363-8	V2	1.52	1.52	.
NxB-RIL-364-1	V2	2.2	2.2	.
NxB-RIL-364-10	V2	3.13	3.13	.
NxB-RIL-364-11	V2	3.13	3.13	.
NxB-RIL-364-12	V2	4.23	4.23	.
NxB-RIL-364-14	V2	4.74	4.74	.
NxB-RIL-364-15	V2	0.92	0.92	.
NxB-RIL-364-16	V2	2.18	2.18	.
NxB-RIL-364-17	V2	0.59	0.59	.
NxB-RIL-364-18	V2	2.72	2.72	.
NxB-RIL-364-19	V2	3.29	3.29	.
NxB-RIL-364-2	V2	4.05	4.05	.
NxB-RIL-364-20	V2	2.64	2.64	.
NxB-RIL-364-21	V2	0.71	0.71	.
NxB-RIL-364-23	V2	1.92	1.92	.
NxB-RIL-364-24	V2	3.48	3.48	.
NxB-RIL-364-25	V2	4.12	4.12	.
NxB-RIL-364-26	V2	1.48	1.48	.
NxB-RIL-364-3	V2	3.87	3.87	.
NxB-RIL-364-4	V2	2.53	2.53	.
NxB-RIL-364-5	V2	3.38	3.38	.
NxB-RIL-364-6	V2	1.82	1.82	.
NxB-RIL-364-7	V2	1.57	1.57	.
NxB-RIL-364-8	V2	4.49	4.49	.
NxB-RIL-364-9	V2	2.72	2.72	.
NxB-RIL-365-1	V2	0.71	0.71	.
NxB-RIL-365-10	V2	2.23	2.23	.
NxB-RIL-365-11	V2	2.32	2.32	.
NxB-RIL-365-12	V2	2.05	2.05	.
NxB-RIL-365-13	V2	2.29	2.29	.
NxB-RIL-365-14	V2	1.58	1.58	.
NxB-RIL-365-16	V2	4.03	4.03	.
NxB-RIL-365-17	V2	0.88	0.88	.
NxB-RIL-365-18	V2	3.07	3.07	.
NxB-RIL-365-2	V2	1.87	1.87	.
NxB-RIL-365-20	V2	3.18	3.18	.
NxB-RIL-365-21	V2	2.31	2.31	.
NxB-RIL-365-22	V2	1.97	1.97	.
NxB-RIL-365-23	V2	2.95	2.95	.
NxB-RIL-365-24	V2	0.93	0.93	.
NxB-RIL-365-25	V2	0.83	0.83	.
NxB-RIL-365-26	V2	1.56	1.56	.
NxB-RIL-365-27	V2	2.53	2.53	.
NxB-RIL-365-28	V2	2.07	2.07	.
NxB-RIL-365-3	V2	3.34	3.34	.
NxB-RIL-365-5	V2	3.27	3.27	.
NxB-RIL-365-6	V2	2.96	2.96	.
NxB-RIL-365-7	V2	1.46	1.46	.
NxB-RIL-365-8	V2	2.36	2.36	.
NxB-RIL-365-9	V2	2.71	2.71	.
NxB-RIL-366-1	V2	2.66	2.66	.
NxB-RIL-366-10	V2	1.71	1.71	.
NxB-RIL-366-11	V2	2	2	.
NxB-RIL-366-12	V2	3.68	3.68	.
NxB-RIL-366-13	V2	2.57	2.57	.
NxB-RIL-366-15	V2	3.48	3.48	.
NxB-RIL-366-16	V2	3.23	3.23	.
NxB-RIL-366-17	V2	3.2	3.2	.
NxB-RIL-366-18	V2	2.71	2.71	.
NxB-RIL-366-2	V2	2.29	2.29	.
NxB-RIL-366-21	V2	3.92	3.92	.
NxB-RIL-366-22	V2	2.86	2.86	.
NxB-RIL-366-23	V2	1.42	1.42	.
NxB-RIL-366-24	V2	3.27	3.27	.
NxB-RIL-366-25	V2	2.82	2.82	.
NxB-RIL-366-26	V2	2.53	2.53	.
NxB-RIL-366-3	V2	3.91	3.91	.
NxB-RIL-366-5	V2	3.47	3.47	.
NxB-RIL-366-6	V2	0.83	0.83	.
NxB-RIL-366-7	V2	1.53	1.53	.
NxB-RIL-366-8	V2	1.86	1.86	.
NxB-RIL-366-9	V2	4.05	4.05	.
NxB-RIL-367-1	V2	1.71	1.71	.
NxB-RIL-367-10	V2	2.22	2.22	.
NxB-RIL-367-11	V2	2.86	2.86	.
NxB-RIL-367-12	V2	2.34	2.34	.
NxB-RIL-367-13	V2	2.48	2.48	.
NxB-RIL-367-14	V2	2.18	2.18	.
NxB-RIL-367-15	V2	4.13	4.13	.
NxB-RIL-367-16	V2	2.57	2.57	.
NxB-RIL-367-17	V2	3.45	3.45	.
NxB-RIL-367-18	V2	0.93	0.93	.
NxB-RIL-367-19	V2	3.71	3.71	.
NxB-RIL-367-2	V2	1.36	1.36	.
NxB-RIL-367-20	V2	1.66	1.66	.
NxB-RIL-367-21	V2	2.71	2.71	.
NxB-RIL-367-22	V2	2.1	2.1	.
NxB-RIL-367-23	V2	3.57	3.57	.
NxB-RIL-367-24	V2	3.27	3.27	.
NxB-RIL-367-25	V2	4.55	4.55	.
NxB-RIL-367-3	V2	0.83	0.83	.
NxB-RIL-367-5	V2	1.71	1.71	.
NxB-RIL-367-6	V2	2.71	2.71	.
NxB-RIL-367-7	V2	2.58	2.58	.
NxB-RIL-367-9	V2	2.18	2.18	.
NxB-RIL-368-1	V2	2.2	2.2	.
NxB-RIL-368-12	V2	1.99	1.99	.
NxB-RIL-368-13	V2	1.59	1.59	.
NxB-RIL-368-15	V2	2.29	2.29	.
NxB-RIL-368-16	V2	2.07	2.07	.
NxB-RIL-368-17	V2	1.27	1.27	.
NxB-RIL-368-18	V2	2.93	2.93	.
NxB-RIL-368-19	V2	2.03	2.03	.
NxB-RIL-368-20	V2	3.64	3.64	.
NxB-RIL-368-21	V2	3.31	3.31	.
NxB-RIL-368-22	V2	1.98	1.98	.
NxB-RIL-368-23	V2	3.15	3.15	.
NxB-RIL-368-24	V2	2.03	2.03	.
NxB-RIL-368-25	V2	2.71	2.71	.
NxB-RIL-368-26	V2	1	1	.
NxB-RIL-368-27	V2	2.47	2.47	.
NxB-RIL-368-28	V2	2.03	2.03	.
NxB-RIL-368-29	V2	2.13	2.13	.
NxB-RIL-368-3	V2	2.82	2.82	.
NxB-RIL-368-4	V2	1.96	1.96	.
NxB-RIL-368-5	V2	3.96	3.96	.
NxB-RIL-368-6	V2	2.57	2.57	.
NxB-RIL-368-8	V2	1.72	1.72	.
NxB-RIL-368-9	V2	2.55	2.55	.
NxB-RIL-369-1	V2	2.12	2.12	.
NxB-RIL-369-10	V2	2.96	2.96	.
NxB-RIL-369-11	V2	4.64	4.64	.
NxB-RIL-369-12	V2	0.91	0.91	.
NxB-RIL-369-13	V2	2.27	2.27	.
NxB-RIL-369-14	V2	1.18	1.18	.
NxB-RIL-369-15	V2	2.93	2.93	.
NxB-RIL-369-16	V2	2.88	2.88	.
NxB-RIL-369-19	V2	3.38	3.38	.
NxB-RIL-369-20	V2	1.38	1.38	.
NxB-RIL-369-21	V2	1.56	1.56	.
NxB-RIL-369-22	V2	1.74	1.74	.
NxB-RIL-369-23	V2	1.23	1.23	.
NxB-RIL-369-25	V2	1.49	1.49	.
NxB-RIL-369-26	V2	4.24	4.24	.
NxB-RIL-369-27	V2	1.53	1.53	.
NxB-RIL-369-28	V2	3.98	3.98	.
NxB-RIL-369-3	V2	2.53	2.53	.
NxB-RIL-369-4	V2	1.86	1.86	.
NxB-RIL-369-5	V2	1.97	1.97	.
NxB-RIL-369-6	V2	2.9	2.9	.
NxB-RIL-369-7	V2	2.59	2.59	.
NxB-RIL-369-8	V2	1.53	1.53	.
NxB-RIL-369-9	V2	3.58	3.58	.
NxB-RIL-370-1	V2	2.53	2.53	.
NxB-RIL-370-10	V2	2.45	2.45	.
NxB-RIL-370-11	V2	2.49	2.49	.
NxB-RIL-370-12	V2	3.48	3.48	.
NxB-RIL-370-14	V2	2.51	2.51	.
NxB-RIL-370-15	V2	2.64	2.64	.
NxB-RIL-370-17	V2	0.9	0.9	.
NxB-RIL-370-18	V2	4.32	4.32	.
NxB-RIL-370-19	V2	2.48	2.48	.
NxB-RIL-370-2	V2	2.52	2.52	.
NxB-RIL-370-20	V2	2.87	2.87	.
NxB-RIL-370-21	V2	2.47	2.47	.
NxB-RIL-370-23	V2	4.23	4.23	.
NxB-RIL-370-24	V2	2.46	2.46	.
NxB-RIL-370-25	V2	3.68	3.68	.
NxB-RIL-370-26	V2	2.86	2.86	.
NxB-RIL-370-28	V2	3.46	3.46	.
NxB-RIL-370-3	V2	3.53	3.53	.
NxB-RIL-370-4	V2	1.97	1.97	.
NxB-RIL-370-5	V2	1.53	1.53	.
NxB-RIL-370-7	V2	1.57	1.57	.
NxB-RIL-370-8	V2	1.91	1.91	.
NxB-RIL-370-9	V2	3.06	3.06	.
